File,airmass,pwv
LBL_A10_s0_w005_R0300000_T.fits,1,0.5
LBL_A10_s0_w010_R0300000_T.fits,1,1
LBL_A10_s0_w015_R0300000_T.fits,1,1.5
LBL_A10_s0_w025_R0300000_T.fits,1,2.5
LBL_A10_s0_w035_R0300000_T.fits,1,3.5
LBL_A10_s0_w050_R0300000_T.fits,1,5
LBL_A10_s0_w075_R0300000_T.fits,1,7.5
LBL_A10_s0_w010_R0300000_T.fits,1,10
LBL_A10_s0_w020_R0300000_T.fits,1,20
LBL_A15_s0_w005_R0300000_T.fits,1.5,0.5
LBL_A15_s0_w010_R0300000_T.fits,1.5,1
LBL_A15_s0_w015_R0300000_T.fits,1.5,1.5
LBL_A15_s0_w025_R0300000_T.fits,1.5,2.5
LBL_A15_s0_w035_R0300000_T.fits,1.5,3.5
LBL_A15_s0_w050_R0300000_T.fits,1.5,5
LBL_A15_s0_w075_R0300000_T.fits,1.5,7.5
LBL_A15_s0_w010_R0300000_T.fits,1.5,10
LBL_A15_s0_w020_R0300000_T.fits,1.5,20
LBL_A20_s0_w005_R0300000_T.fits,2,0.5
LBL_A20_s0_w010_R0300000_T.fits,2,1
LBL_A20_s0_w015_R0300000_T.fits,2,1.5
LBL_A20_s0_w025_R0300000_T.fits,2,2.5
LBL_A20_s0_w035_R0300000_T.fits,2,3.5
LBL_A20_s0_w050_R0300000_T.fits,2,5
LBL_A20_s0_w075_R0300000_T.fits,2,7.5
LBL_A20_s0_w010_R0300000_T.fits,2,10
LBL_A20_s0_w020_R0300000_T.fits,2,20
LBL_A25_s0_w005_R0300000_T.fits,2.5,0.5
LBL_A25_s0_w010_R0300000_T.fits,2.5,1
LBL_A25_s0_w015_R0300000_T.fits,2.5,1.5
LBL_A25_s0_w025_R0300000_T.fits,2.5,2.5
LBL_A25_s0_w035_R0300000_T.fits,2.5,3.5
LBL_A25_s0_w050_R0300000_T.fits,2.5,5
LBL_A25_s0_w075_R0300000_T.fits,2.5,7.5
LBL_A25_s0_w010_R0300000_T.fits,2.5,10
LBL_A25_s0_w020_R0300000_T.fits,2.5,20
LBL_A30_s0_w005_R0300000_T.fits,3,0.5
LBL_A30_s0_w010_R0300000_T.fits,3,1
LBL_A30_s0_w015_R0300000_T.fits,3,1.5
LBL_A30_s0_w025_R0300000_T.fits,3,2.5
LBL_A30_s0_w035_R0300000_T.fits,3,3.5
LBL_A30_s0_w050_R0300000_T.fits,3,5
LBL_A30_s0_w075_R0300000_T.fits,3,7.5
LBL_A30_s0_w010_R0300000_T.fits,3,10
LBL_A30_s0_w020_R0300000_T.fits,3,20