teff,logg,M_H,en
400,3.5,0.0,0.0
400,4.0,0.0,0.0
400,4.5,0.0,0.0
400,5.0,0.0,0.0
500,3.0,0.0,0.0
500,3.5,0.0,0.0
500,4.0,0.0,0.0
500,4.5,0.0,0.0
500,5.0,0.0,0.0
600,3.0,0.0,0.0
600,3.5,0.0,0.0
600,4.0,0.0,0.0
600,4.5,0.0,0.0
600,5.0,0.0,0.0
700,3.0,0.0,0.0
700,3.5,0.0,0.0
700,4.0,0.0,0.0
700,4.5,0.0,0.0
700,5.0,0.0,0.0
800,3.0,0.0,0.0
800,3.5,0.0,0.0
800,4.0,0.0,0.0
800,4.0,0.5,0.0
800,4.5,0.0,0.0
800,5.0,0.0,0.0
900,3.0,0.0,0.0
900,3.5,0.0,0.0
900,4.0,0.0,0.0
900,4.0,0.5,0.0
900,4.5,0.0,0.0
900,5.0,0.0,0.0
900,5.5,0.0,0.0
1000,3.5,0.0,0.0
1000,4.0,-0.5,0.2
1000,4.0,0.0,0.0
1000,4.0,0.5,0.0
1000,4.5,-0.5,0.2
1000,4.5,0.0,0.0
1000,5.0,-0.5,0.2
1000,5.0,0.0,0.0
1000,5.5,0.0,0.0
1100,3.5,-0.5,0.2
1100,3.5,0.0,0.0
1100,4.0,-0.5,0.2
1100,4.0,0.0,0.0
1100,4.0,0.5,0.0
1100,4.5,-0.5,0.2
1100,4.5,0.0,0.0
1100,5.0,-0.5,0.2
1100,5.0,0.0,0.0
1100,5.5,0.0,0.0
1200,3.5,-0.5,0.2
1200,3.5,0.0,0.0
1200,3.5,0.5,0.0
1200,4.0,-0.5,0.2
1200,4.0,0.0,0.0
1200,4.0,0.5,0.0
1200,4.5,-0.5,0.2
1200,4.5,0.0,0.0
1200,4.5,0.5,0.0
1200,5.0,-0.5,0.2
1200,5.0,0.0,0.0
1200,5.0,0.5,0.0
1200,5.5,0.0,0.0
1300,3.5,-0.5,0.2
1300,3.5,0.0,0.0
1300,3.5,0.5,0.0
1300,4.0,-0.5,0.2
1300,4.0,0.0,0.0
1300,4.0,0.5,0.0
1300,4.5,-0.5,0.2
1300,4.5,0.0,0.0
1300,4.5,0.5,0.0
1300,5.0,-0.5,0.2
1300,5.0,0.0,0.0
1300,5.0,0.5,0.0
1300,5.5,0.0,0.0
1400,3.5,-0.5,0.2
1400,3.5,0.0,0.0
1400,3.5,0.5,0.0
1400,4.0,-0.5,0.2
1400,4.0,0.0,0.0
1400,4.0,0.5,0.0
1400,4.5,-0.5,0.2
1400,4.5,0.0,0.0
1400,4.5,0.5,0.0
1400,5.0,-0.5,0.2
1400,5.0,0.0,0.0
1400,5.0,0.5,0.0
1400,5.5,0.0,0.0
1500,3.5,-0.5,0.2
1500,3.5,0.0,0.0
1500,3.5,0.5,0.0
1500,4.0,-0.5,0.2
1500,4.0,0.0,0.0
1500,4.0,0.5,0.0
1500,4.5,-0.5,0.2
1500,4.5,0.0,0.0
1500,4.5,0.5,0.0
1500,5.0,-0.5,0.2
1500,5.0,0.0,0.0
1500,5.0,0.5,0.0
1500,5.5,0.0,0.0
1600,3.5,-0.5,0.2
1600,3.5,0.0,0.0
1600,3.5,0.5,0.0
1600,4.0,-0.5,0.2
1600,4.0,0.0,0.0
1600,4.0,0.5,0.0
1600,4.5,-0.5,0.2
1600,4.5,0.0,0.0
1600,4.5,0.5,0.0
1600,5.0,-0.5,0.2
1600,5.0,0.0,0.0
1600,5.0,0.5,0.0
1600,5.5,0.0,0.0
1700,3.5,-0.5,0.2
1700,3.5,0.0,0.0
1700,3.5,0.5,0.0
1700,4.0,-0.5,0.2
1700,4.0,0.0,0.0
1700,4.0,0.5,0.0
1700,4.5,-0.5,0.2
1700,4.5,0.0,0.0
1700,4.5,0.5,0.0
1700,5.0,-0.5,0.2
1700,5.0,0.0,0.0
1700,5.0,0.5,0.0
1700,5.5,0.0,0.0
1800,3.5,-0.5,0.2
1800,3.5,0.0,0.0
1800,3.5,0.5,0.0
1800,4.0,-0.5,0.2
1800,4.0,0.0,0.0
1800,4.0,0.5,0.0
1800,4.5,-0.5,0.2
1800,4.5,0.0,0.0
1800,4.5,0.5,0.0
1800,5.0,-0.5,0.2
1800,5.0,0.0,0.0
1800,5.0,0.5,0.0
1800,5.5,0.0,0.0
1900,3.0,0.0,0.0
1900,3.5,0.0,0.0
1900,3.5,0.5,0.0
1900,4.0,-0.5,0.2
1900,4.0,0.0,0.0
1900,4.0,0.5,0.0
1900,4.5,0.0,0.0
1900,4.5,0.5,0.0
1900,5.0,-0.5,0.2
1900,5.0,0.0,0.0
1900,5.0,0.5,0.0
1900,5.5,0.0,0.0
2000,3.0,0.0,0.0
2000,3.5,0.0,0.0
2000,3.5,0.5,0.0
2000,4.0,-0.5,0.2
2000,4.0,0.0,0.0
2000,4.0,0.5,0.0
2000,4.5,-0.5,0.2
2000,4.5,0.0,0.0
2000,4.5,0.5,0.0
2000,5.0,-0.5,0.2
2000,5.0,0.0,0.0
2000,5.0,0.5,0.0
2000,5.5,0.0,0.0
2100,2.5,0.0,0.0
2100,3.0,0.0,0.0
2100,3.5,-0.5,0.2
2100,3.5,0.0,0.0
2100,3.5,0.5,0.0
2100,4.0,-0.5,0.2
2100,4.0,0.0,0.0
2100,4.0,0.5,0.0
2100,4.5,-0.5,0.2
2100,4.5,0.0,0.0
2100,4.5,0.5,0.0
2100,5.0,-0.5,0.2
2100,5.0,0.0,0.0
2100,5.0,0.5,0.0
2100,5.5,0.0,0.0
2200,3.0,0.0,0.0
2200,3.5,-0.5,0.2
2200,3.5,0.0,0.0
2200,4.0,-0.5,0.2
2200,4.0,0.0,0.0
2200,4.0,0.5,0.0
2200,4.5,-0.5,0.2
2200,4.5,0.0,0.0
2200,4.5,0.5,0.0
2200,5.0,-0.5,0.2
2200,5.0,0.0,0.0
2200,5.0,0.5,0.0
2200,5.5,0.0,0.0
2300,2.5,0.0,0.0
2300,3.0,0.0,0.0
2300,3.5,-0.5,0.2
2300,3.5,0.0,0.0
2300,4.0,-0.5,0.2
2300,4.0,0.0,0.0
2300,4.5,-0.5,0.2
2300,4.5,0.0,0.0
2300,4.5,0.5,0.0
2300,5.0,-0.5,0.2
2300,5.0,0.0,0.0
2300,5.0,0.5,0.0
2300,5.5,0.0,0.0
2400,3.0,0.0,0.0
2400,3.5,-0.5,0.2
2400,3.5,0.0,0.0
2400,4.0,-0.5,0.2
2400,4.0,0.0,0.0
2400,4.5,-0.5,0.2
2400,4.5,0.0,0.0
2400,4.5,0.5,0.0
2400,5.0,-0.5,0.2
2400,5.0,0.0,0.0
2400,5.0,0.5,0.0
2400,5.5,0.0,0.0
2500,0.0,0.0,0.0
2500,0.5,0.0,0.0
2500,1.0,0.0,0.0
2500,1.5,0.0,0.0
2500,2.0,0.0,0.0
2500,2.5,0.0,0.0
2500,3.0,0.0,0.0
2500,3.5,-0.5,0.2
2500,3.5,0.0,0.0
2500,4.0,-0.5,0.2
2500,4.0,0.0,0.0
2500,4.5,-0.5,0.2
2500,4.5,0.0,0.0
2500,4.5,0.5,0.0
2500,5.0,-0.5,0.2
2500,5.0,0.0,0.0
2500,5.0,0.5,0.0
2500,5.5,0.0,0.0
2500,5.5,0.5,0.0
2600,0.0,0.0,0.0
2600,0.5,0.0,0.0
2600,1.0,0.0,0.0
2600,1.5,0.0,0.0
2600,2.0,0.0,0.0
2600,2.5,0.0,0.0
2600,3.0,0.0,0.0
2600,3.5,-0.5,0.2
2600,3.5,0.0,0.0
2600,4.0,-0.5,0.2
2600,4.0,0.0,0.0
2600,4.5,-2.5,0.4
2600,4.5,-2.0,0.4
2600,4.5,-1.0,0.4
2600,4.5,-0.5,0.2
2600,4.5,0.0,0.0
2600,4.5,0.5,0.0
2600,5.0,-2.5,0.4
2600,5.0,-2.0,0.4
2600,5.0,-1.0,0.4
2600,5.0,-0.5,0.2
2600,5.0,0.0,0.0
2600,5.0,0.5,0.0
2600,5.5,-2.5,0.4
2600,5.5,-2.0,0.4
2600,5.5,-1.5,0.4
2600,5.5,-1.0,0.4
2600,5.5,-0.5,0.2
2600,5.5,0.0,0.0
2600,5.5,0.5,0.0
2700,0.0,0.0,0.0
2700,0.5,0.0,0.0
2700,0.5,0.0,0.0
2700,1.0,0.0,0.0
2700,1.5,0.0,0.0
2700,2.0,0.0,0.0
2700,2.5,0.0,0.0
2700,3.0,0.0,0.0
2700,3.5,-0.5,0.2
2700,3.5,0.0,0.0
2700,4.0,-0.5,0.2
2700,4.0,0.0,0.0
2700,4.5,-2.5,0.4
2700,4.5,-2.0,0.4
2700,4.5,-1.0,0.4
2700,4.5,-0.5,0.2
2700,4.5,0.0,0.0
2700,4.5,0.5,0.0
2700,5.0,-2.5,0.4
2700,5.0,-2.0,0.4
2700,5.0,-1.0,0.4
2700,5.0,-0.5,0.2
2700,5.0,0.0,0.0
2700,5.0,0.5,0.0
2700,5.5,-2.5,0.4
2700,5.5,-2.0,0.4
2700,5.5,-1.0,0.4
2700,5.5,-0.5,0.2
2700,5.5,0.0,0.0
2700,5.5,0.5,0.0
2800,0.0,0.0,0.0
2800,0.5,0.0,0.0
2800,0.5,0.0,0.0
2800,1.0,0.0,0.0
2800,1.5,0.0,0.0
2800,2.0,0.0,0.0
2800,2.5,0.0,0.0
2800,3.0,0.0,0.0
2800,3.5,0.0,0.0
2800,4.0,0.0,0.0
2800,4.5,-2.5,0.4
2800,4.5,-2.0,0.4
2800,4.5,-1.0,0.4
2800,4.5,-0.5,0.2
2800,4.5,0.0,0.0
2800,4.5,0.5,0.0
2800,5.0,-2.5,0.4
2800,5.0,-2.0,0.4
2800,5.0,-1.5,0.4
2800,5.0,-1.0,0.4
2800,5.0,-0.5,0.2
2800,5.0,0.0,0.0
2800,5.0,0.5,0.0
2800,5.5,-2.5,0.4
2800,5.5,-2.0,0.4
2800,5.5,-1.0,0.4
2800,5.5,-0.5,0.2
2800,5.5,0.0,0.0
2800,5.5,0.5,0.0
2900,0.0,0.0,0.0
2900,0.5,0.0,0.0
2900,0.5,0.0,0.0
2900,1.0,0.0,0.0
2900,1.5,0.0,0.0
2900,2.0,0.0,0.0
2900,2.5,0.0,0.0
2900,3.0,0.0,0.0
2900,3.5,0.0,0.0
2900,4.0,0.0,0.0
2900,4.5,-2.5,0.4
2900,4.5,-2.0,0.4
2900,4.5,-1.0,0.4
2900,4.5,-0.5,0.2
2900,4.5,0.0,0.0
2900,4.5,0.5,0.0
2900,5.0,-2.5,0.4
2900,5.0,-2.0,0.4
2900,5.0,-1.5,0.4
2900,5.0,-1.0,0.4
2900,5.0,0.0,0.0
2900,5.0,0.5,0.0
2900,5.5,-2.5,0.4
2900,5.5,-2.0,0.4
2900,5.5,-1.0,0.4
2900,5.5,-0.5,0.2
2900,5.5,0.0,0.0
2900,5.5,0.5,0.0
3000,0.0,0.0,0.0
3000,0.5,0.0,0.0
3000,1.0,0.0,0.0
3000,1.5,0.0,0.0
3000,2.0,0.0,0.0
3000,2.5,-1.0,0.4
3000,2.5,0.0,0.0
3000,3.0,-1.0,0.4
3000,3.0,-0.5,0.2
3000,3.0,0.0,0.0
3000,3.5,-0.5,0.2
3000,3.5,0.0,0.0
3000,4.0,-0.5,0.2
3000,4.0,0.0,0.0
3000,4.5,-2.5,0.4
3000,4.5,-2.0,0.4
3000,4.5,-1.5,0.4
3000,4.5,-1.0,0.4
3000,4.5,-0.5,0.2
3000,4.5,0.0,0.0
3000,4.5,0.5,0.0
3000,5.0,-2.5,0.4
3000,5.0,-2.0,0.4
3000,5.0,-1.5,0.4
3000,5.0,-1.0,0.4
3000,5.0,-0.5,0.2
3000,5.0,0.0,0.0
3000,5.0,0.0,0.2
3000,5.0,0.5,0.0
3000,5.5,-2.5,0.4
3000,5.5,-2.0,0.4
3000,5.5,-1.5,0.4
3000,5.5,-1.0,0.4
3000,5.5,-0.5,0.2
3000,5.5,0.0,0.0
3000,5.5,0.0,0.2
3000,5.5,0.5,0.0
3000,6.0,-1.0,0.4
3000,6.0,-0.5,0.2
3000,6.0,0.0,0.0
3100,0.0,0.0,0.0
3100,0.5,0.0,0.0
3100,1.0,0.0,0.0
3100,1.5,0.0,0.0
3100,2.0,-1.0,0.4
3100,2.0,0.0,0.0
3100,2.5,-1.0,0.4
3100,2.5,0.0,0.0
3100,3.0,-1.0,0.4
3100,3.0,-0.5,0.2
3100,3.0,0.0,0.0
3100,3.5,-0.5,0.2
3100,3.5,0.0,0.0
3100,4.0,-0.5,0.2
3100,4.0,0.0,0.0
3100,4.5,-2.5,0.4
3100,4.5,-2.0,0.4
3100,4.5,-1.5,0.4
3100,4.5,-1.0,0.4
3100,4.5,-0.5,0.2
3100,4.5,0.0,0.0
3100,4.5,0.5,0.0
3100,5.0,-2.5,0.4
3100,5.0,-2.0,0.4
3100,5.0,-1.5,0.4
3100,5.0,-1.0,0.4
3100,5.0,-0.5,0.2
3100,5.0,0.0,0.0
3100,5.0,0.0,0.2
3100,5.0,0.5,0.0
3100,5.5,-2.5,0.4
3100,5.5,-2.0,0.4
3100,5.5,-1.5,0.4
3100,5.5,-1.0,0.4
3100,5.5,-0.5,0.2
3100,5.5,0.0,0.0
3100,5.5,0.0,0.2
3100,5.5,0.5,0.0
3100,6.0,-1.0,0.4
3100,6.0,-0.5,0.2
3100,6.0,0.0,0.0
3200,0.0,0.0,0.0
3200,0.5,0.0,0.0
3200,0.5,0.0,0.0
3200,1.0,0.0,0.0
3200,1.5,0.0,0.0
3200,2.0,0.0,0.0
3200,2.5,-1.0,0.4
3200,2.5,0.0,0.0
3200,3.0,-1.0,0.4
3200,3.0,-0.5,0.2
3200,3.0,0.0,0.0
3200,3.5,-0.5,0.2
3200,3.5,0.0,0.0
3200,4.0,-0.5,0.2
3200,4.0,0.0,0.0
3200,4.5,-2.5,0.4
3200,4.5,-2.0,0.4
3200,4.5,-1.5,0.4
3200,4.5,-1.0,0.4
3200,4.5,-0.5,0.2
3200,4.5,0.0,0.0
3200,4.5,0.5,0.0
3200,5.0,-2.5,0.4
3200,5.0,-2.0,0.4
3200,5.0,-1.5,0.4
3200,5.0,-1.0,0.4
3200,5.0,-0.5,0.2
3200,5.0,0.0,0.0
3200,5.0,0.0,0.2
3200,5.0,0.5,0.0
3200,5.5,-2.5,0.4
3200,5.5,-2.0,0.4
3200,5.5,-1.5,0.4
3200,5.5,-1.0,0.4
3200,5.5,-0.5,0.2
3200,5.5,0.0,0.0
3200,5.5,0.0,0.2
3200,5.5,0.5,0.0
3200,6.0,-0.5,0.2
3200,6.0,0.0,0.0
3300,0.0,0.0,0.0
3300,0.5,0.0,0.0
3300,0.5,0.0,0.0
3300,1.0,0.0,0.0
3300,1.5,0.0,0.0
3300,2.0,-1.0,0.4
3300,2.0,0.0,0.0
3300,2.5,0.0,0.0
3300,3.0,-1.0,0.4
3300,3.0,-0.5,0.2
3300,3.0,0.0,0.0
3300,3.5,-0.5,0.2
3300,3.5,0.0,0.0
3300,4.0,-0.5,0.2
3300,4.0,0.0,0.0
3300,4.5,-2.5,0.4
3300,4.5,-2.0,0.4
3300,4.5,-1.5,0.4
3300,4.5,-1.0,0.4
3300,4.5,-0.5,0.2
3300,4.5,0.0,0.0
3300,4.5,0.5,0.0
3300,5.0,-2.5,0.4
3300,5.0,-2.0,0.4
3300,5.0,-1.5,0.4
3300,5.0,-1.0,0.4
3300,5.0,-0.5,0.2
3300,5.0,0.0,0.0
3300,5.0,0.0,0.2
3300,5.0,0.5,0.0
3300,5.5,-2.5,0.4
3300,5.5,-2.0,0.4
3300,5.5,-1.5,0.4
3300,5.5,-1.0,0.4
3300,5.5,-0.5,0.2
3300,5.5,0.0,0.0
3300,5.5,0.0,0.2
3300,5.5,0.5,0.0
3300,6.0,-0.5,0.2
3300,6.0,0.0,0.0
3400,0.0,0.0,0.0
3400,0.5,0.0,0.0
3400,0.5,0.0,0.0
3400,1.0,0.0,0.0
3400,1.5,0.0,0.0
3400,2.0,-1.0,0.4
3400,2.0,0.0,0.0
3400,2.5,-1.0,0.4
3400,2.5,0.0,0.0
3400,3.0,-1.0,0.4
3400,3.0,-0.5,0.2
3400,3.0,0.0,0.0
3400,3.5,-0.5,0.2
3400,3.5,0.0,0.0
3400,4.0,-0.5,0.2
3400,4.0,0.0,0.0
3400,4.5,-2.5,0.4
3400,4.5,-2.0,0.4
3400,4.5,-1.5,0.4
3400,4.5,-1.0,0.4
3400,4.5,-0.5,0.2
3400,4.5,0.0,0.0
3400,4.5,0.5,0.0
3400,5.0,-2.5,0.4
3400,5.0,-2.0,0.4
3400,5.0,-1.5,0.4
3400,5.0,-1.0,0.4
3400,5.0,-0.5,0.2
3400,5.0,0.0,0.0
3400,5.0,0.0,0.2
3400,5.0,0.5,0.0
3400,5.5,-2.5,0.4
3400,5.5,-2.0,0.4
3400,5.5,-1.5,0.4
3400,5.5,-1.0,0.4
3400,5.5,-0.5,0.2
3400,5.5,0.0,0.0
3400,5.5,0.0,0.2
3400,5.5,0.5,0.0
3400,6.0,-1.0,0.4
3400,6.0,-0.5,0.2
3400,6.0,0.0,0.0
3500,0.0,0.0,0.0
3500,0.5,0.0,0.0
3500,0.5,0.0,0.0
3500,1.0,0.0,0.0
3500,1.5,0.0,0.0
3500,2.0,-1.0,0.4
3500,2.0,0.0,0.0
3500,2.5,-1.0,0.4
3500,2.5,0.0,0.0
3500,3.0,-1.0,0.4
3500,3.0,-0.5,0.2
3500,3.0,0.0,0.0
3500,3.5,-0.5,0.2
3500,3.5,0.0,0.0
3500,4.0,-0.5,0.2
3500,4.0,0.0,0.0
3500,4.5,-2.5,0.4
3500,4.5,-2.0,0.4
3500,4.5,-1.5,0.4
3500,4.5,-1.0,0.4
3500,4.5,-0.5,0.2
3500,4.5,0.0,0.0
3500,4.5,0.5,0.0
3500,5.0,-2.5,0.4
3500,5.0,-2.0,0.4
3500,5.0,-1.5,0.4
3500,5.0,-1.0,0.4
3500,5.0,-0.5,0.2
3500,5.0,0.0,0.0
3500,5.0,0.0,0.2
3500,5.0,0.5,0.0
3500,5.5,-2.5,0.4
3500,5.5,-2.0,0.4
3500,5.5,-1.5,0.4
3500,5.5,-1.0,0.4
3500,5.5,-0.5,0.2
3500,5.5,0.0,0.0
3500,5.5,0.0,0.2
3500,5.5,0.5,0.0
3500,6.0,-0.5,0.2
3500,6.0,0.0,0.0
3600,0.0,0.0,0.0
3600,0.5,0.0,0.0
3600,0.5,0.0,0.0
3600,1.0,0.0,0.0
3600,1.5,0.0,0.0
3600,2.0,-1.0,0.4
3600,2.0,0.0,0.0
3600,2.5,0.0,0.0
3600,3.0,-1.0,0.4
3600,3.0,-0.5,0.2
3600,3.0,0.0,0.0
3600,3.5,-0.5,0.2
3600,3.5,0.0,0.0
3600,4.0,-0.5,0.2
3600,4.0,0.0,0.0
3600,4.5,-2.5,0.4
3600,4.5,-2.0,0.4
