File,Temp,Logg,Metal,Alpha
PHOENIX_BTSETTL_CIFIST2011_2015_t1200_g2.50_z0.00_en0.00_APOGEE-RAW.txt,1200,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1200_g3.00_z0.00_en0.00_APOGEE-RAW.txt,1200,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1200_g3.50_z0.00_en0.00_APOGEE-RAW.txt,1200,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1200_g4.00_z0.00_en0.00_APOGEE-RAW.txt,1200,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1200_g4.50_z0.00_en0.00_APOGEE-RAW.txt,1200,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1200_g5.00_z0.00_en0.00_APOGEE-RAW.txt,1200,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1200_g5.50_z0.00_en0.00_APOGEE-RAW.txt,1200,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1300_g2.50_z0.00_en0.00_APOGEE-RAW.txt,1300,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1300_g3.00_z0.00_en0.00_APOGEE-RAW.txt,1300,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1300_g3.50_z0.00_en0.00_APOGEE-RAW.txt,1300,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1300_g4.00_z0.00_en0.00_APOGEE-RAW.txt,1300,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1300_g4.50_z0.00_en0.00_APOGEE-RAW.txt,1300,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1300_g5.00_z0.00_en0.00_APOGEE-RAW.txt,1300,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1300_g5.50_z0.00_en0.00_APOGEE-RAW.txt,1300,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1400_g3.00_z0.00_en0.00_APOGEE-RAW.txt,1400,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1400_g3.50_z0.00_en0.00_APOGEE-RAW.txt,1400,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1400_g4.00_z0.00_en0.00_APOGEE-RAW.txt,1400,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1400_g4.50_z0.00_en0.00_APOGEE-RAW.txt,1400,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1400_g5.00_z0.00_en0.00_APOGEE-RAW.txt,1400,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1400_g5.50_z0.00_en0.00_APOGEE-RAW.txt,1400,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1500_g2.50_z0.00_en0.00_APOGEE-RAW.txt,1500,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1500_g3.00_z0.00_en0.00_APOGEE-RAW.txt,1500,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1500_g3.50_z0.00_en0.00_APOGEE-RAW.txt,1500,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1500_g4.00_z0.00_en0.00_APOGEE-RAW.txt,1500,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1500_g4.50_z0.00_en0.00_APOGEE-RAW.txt,1500,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1500_g5.00_z0.00_en0.00_APOGEE-RAW.txt,1500,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1500_g5.50_z0.00_en0.00_APOGEE-RAW.txt,1500,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1600_g2.50_z0.00_en0.00_APOGEE-RAW.txt,1600,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1600_g3.00_z0.00_en0.00_APOGEE-RAW.txt,1600,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1600_g3.50_z0.00_en0.00_APOGEE-RAW.txt,1600,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1600_g4.00_z0.00_en0.00_APOGEE-RAW.txt,1600,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1600_g4.50_z0.00_en0.00_APOGEE-RAW.txt,1600,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1600_g5.00_z0.00_en0.00_APOGEE-RAW.txt,1600,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1600_g5.50_z0.00_en0.00_APOGEE-RAW.txt,1600,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1700_g2.50_z0.00_en0.00_APOGEE-RAW.txt,1700,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1700_g3.00_z0.00_en0.00_APOGEE-RAW.txt,1700,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1700_g3.50_z0.00_en0.00_APOGEE-RAW.txt,1700,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1700_g4.00_z0.00_en0.00_APOGEE-RAW.txt,1700,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1700_g4.50_z0.00_en0.00_APOGEE-RAW.txt,1700,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1700_g5.00_z0.00_en0.00_APOGEE-RAW.txt,1700,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1700_g5.50_z0.00_en0.00_APOGEE-RAW.txt,1700,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1800_g2.50_z0.00_en0.00_APOGEE-RAW.txt,1800,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1800_g3.00_z0.00_en0.00_APOGEE-RAW.txt,1800,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1800_g3.50_z0.00_en0.00_APOGEE-RAW.txt,1800,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1800_g4.00_z0.00_en0.00_APOGEE-RAW.txt,1800,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1800_g4.50_z0.00_en0.00_APOGEE-RAW.txt,1800,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1800_g5.00_z0.00_en0.00_APOGEE-RAW.txt,1800,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1800_g5.50_z0.00_en0.00_APOGEE-RAW.txt,1800,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1900_g2.50_z0.00_en0.00_APOGEE-RAW.txt,1900,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1900_g3.00_z0.00_en0.00_APOGEE-RAW.txt,1900,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1900_g3.50_z0.00_en0.00_APOGEE-RAW.txt,1900,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1900_g4.00_z0.00_en0.00_APOGEE-RAW.txt,1900,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1900_g4.50_z0.00_en0.00_APOGEE-RAW.txt,1900,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1900_g5.00_z0.00_en0.00_APOGEE-RAW.txt,1900,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t1900_g5.50_z0.00_en0.00_APOGEE-RAW.txt,1900,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2000_g2.50_z0.00_en0.00_APOGEE-RAW.txt,2000,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2000_g3.00_z0.00_en0.00_APOGEE-RAW.txt,2000,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2000_g3.50_z0.00_en0.00_APOGEE-RAW.txt,2000,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2000_g4.00_z0.00_en0.00_APOGEE-RAW.txt,2000,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2000_g4.50_z0.00_en0.00_APOGEE-RAW.txt,2000,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2000_g5.00_z0.00_en0.00_APOGEE-RAW.txt,2000,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2000_g5.50_z0.00_en0.00_APOGEE-RAW.txt,2000,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2100_g2.50_z0.00_en0.00_APOGEE-RAW.txt,2100,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2100_g3.00_z0.00_en0.00_APOGEE-RAW.txt,2100,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2100_g3.50_z0.00_en0.00_APOGEE-RAW.txt,2100,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2100_g4.00_z0.00_en0.00_APOGEE-RAW.txt,2100,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2100_g4.50_z0.00_en0.00_APOGEE-RAW.txt,2100,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2100_g5.00_z0.00_en0.00_APOGEE-RAW.txt,2100,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2100_g5.50_z0.00_en0.00_APOGEE-RAW.txt,2100,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2200_g2.50_z0.00_en0.00_APOGEE-RAW.txt,2200,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2200_g3.00_z0.00_en0.00_APOGEE-RAW.txt,2200,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2200_g3.50_z0.00_en0.00_APOGEE-RAW.txt,2200,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2200_g4.00_z0.00_en0.00_APOGEE-RAW.txt,2200,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2200_g4.50_z0.00_en0.00_APOGEE-RAW.txt,2200,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2200_g5.00_z0.00_en0.00_APOGEE-RAW.txt,2200,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2200_g5.50_z0.00_en0.00_APOGEE-RAW.txt,2200,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2300_g2.50_z0.00_en0.00_APOGEE-RAW.txt,2300,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2300_g3.00_z0.00_en0.00_APOGEE-RAW.txt,2300,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2300_g3.50_z0.00_en0.00_APOGEE-RAW.txt,2300,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2300_g4.00_z0.00_en0.00_APOGEE-RAW.txt,2300,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2300_g4.50_z0.00_en0.00_APOGEE-RAW.txt,2300,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2300_g5.00_z0.00_en0.00_APOGEE-RAW.txt,2300,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2300_g5.50_z0.00_en0.00_APOGEE-RAW.txt,2300,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2400_g2.50_z0.00_en0.00_APOGEE-RAW.txt,2400,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2400_g3.00_z0.00_en0.00_APOGEE-RAW.txt,2400,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2400_g3.50_z0.00_en0.00_APOGEE-RAW.txt,2400,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2400_g4.00_z0.00_en0.00_APOGEE-RAW.txt,2400,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2400_g4.50_z0.00_en0.00_APOGEE-RAW.txt,2400,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2400_g5.00_z0.00_en0.00_APOGEE-RAW.txt,2400,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2400_g5.50_z0.00_en0.00_APOGEE-RAW.txt,2400,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2500_g2.50_z0.00_en0.00_APOGEE-RAW.txt,2500,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2500_g3.00_z0.00_en0.00_APOGEE-RAW.txt,2500,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2500_g3.50_z0.00_en0.00_APOGEE-RAW.txt,2500,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2500_g4.00_z0.00_en0.00_APOGEE-RAW.txt,2500,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2500_g4.50_z0.00_en0.00_APOGEE-RAW.txt,2500,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2500_g5.00_z0.00_en0.00_APOGEE-RAW.txt,2500,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2500_g5.50_z0.00_en0.00_APOGEE-RAW.txt,2500,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2600_g2.50_z0.00_en0.00_APOGEE-RAW.txt,2600,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2600_g3.00_z0.00_en0.00_APOGEE-RAW.txt,2600,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2600_g3.50_z0.00_en0.00_APOGEE-RAW.txt,2600,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2600_g4.00_z0.00_en0.00_APOGEE-RAW.txt,2600,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2600_g4.50_z0.00_en0.00_APOGEE-RAW.txt,2600,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2600_g5.00_z0.00_en0.00_APOGEE-RAW.txt,2600,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2600_g5.50_z0.00_en0.00_APOGEE-RAW.txt,2600,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2700_g2.50_z0.00_en0.00_APOGEE-RAW.txt,2700,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2700_g3.00_z0.00_en0.00_APOGEE-RAW.txt,2700,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2700_g3.50_z0.00_en0.00_APOGEE-RAW.txt,2700,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2700_g4.00_z0.00_en0.00_APOGEE-RAW.txt,2700,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2700_g4.50_z0.00_en0.00_APOGEE-RAW.txt,2700,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2700_g5.00_z0.00_en0.00_APOGEE-RAW.txt,2700,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2700_g5.50_z0.00_en0.00_APOGEE-RAW.txt,2700,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2800_g2.50_z0.00_en0.00_APOGEE-RAW.txt,2800,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2800_g3.00_z0.00_en0.00_APOGEE-RAW.txt,2800,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2800_g3.50_z0.00_en0.00_APOGEE-RAW.txt,2800,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2800_g4.00_z0.00_en0.00_APOGEE-RAW.txt,2800,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2800_g4.50_z0.00_en0.00_APOGEE-RAW.txt,2800,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2800_g5.00_z0.00_en0.00_APOGEE-RAW.txt,2800,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2800_g5.50_z0.00_en0.00_APOGEE-RAW.txt,2800,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2900_g2.50_z0.00_en0.00_APOGEE-RAW.txt,2900,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2900_g3.00_z0.00_en0.00_APOGEE-RAW.txt,2900,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2900_g3.50_z0.00_en0.00_APOGEE-RAW.txt,2900,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2900_g4.00_z0.00_en0.00_APOGEE-RAW.txt,2900,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2900_g4.50_z0.00_en0.00_APOGEE-RAW.txt,2900,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2900_g5.00_z0.00_en0.00_APOGEE-RAW.txt,2900,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t2900_g5.50_z0.00_en0.00_APOGEE-RAW.txt,2900,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t3000_g2.50_z0.00_en0.00_APOGEE-RAW.txt,3000,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t3000_g3.00_z0.00_en0.00_APOGEE-RAW.txt,3000,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t3000_g3.50_z0.00_en0.00_APOGEE-RAW.txt,3000,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t3000_g4.00_z0.00_en0.00_APOGEE-RAW.txt,3000,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t3000_g4.50_z0.00_en0.00_APOGEE-RAW.txt,3000,4.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t3000_g5.00_z0.00_en0.00_APOGEE-RAW.txt,3000,5.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t3000_g5.50_z0.00_en0.00_APOGEE-RAW.txt,3000,5.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t3100_g2.50_z0.00_en0.00_APOGEE-RAW.txt,3100,2.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t3100_g3.00_z0.00_en0.00_APOGEE-RAW.txt,3100,3.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t3100_g3.50_z0.00_en0.00_APOGEE-RAW.txt,3100,3.5,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t3100_g4.00_z0.00_en0.00_APOGEE-RAW.txt,3100,4.0,0.0,0.0
PHOENIX_BTSETTL_CIFIST2011_2015_t3100_g4.50_z0.00_en0.00_APOGEE-RAW.txt,3100,4.5,0.0,0.0
